point_index,policy_id,quality_budget,predicted_delta_nll,raw_predicted_linear_ms,corrected_e2e_prediction_ms,count_dense_bf16,count_dense_nvfp4,count_sparse_bf16,count_sparse_nvfp4,count_w4a16_ours
0,point_000,0.0,0.0,1091.376545363557,1101.8291534855962,128,0,0,0,0
1,point_001,0.005,0.0,1065.7652973774502,1101.8291534855962,126,2,0,0,0
2,point_002,0.01,0.0,1027.3484253982901,1038.918809624315,123,5,0,0,0
3,point_003,0.02,0.0,963.320305433023,990.5275837187417,118,10,0,0,0
4,point_004,0.04,0.008662997066929851,835.264065502489,896.9345127761283,108,20,0,0,0
5,point_005,0.06,0.020040028328080994,707.207825571955,817.8375743617945,98,30,0,0,0
6,point_006,0.08,0.022103177106672325,658.957354443719,788.0345398094528,88,40,0,0,0
7,point_007,0.12,0.02647614738530272,602.3592965883962,753.0754226357653,68,60,0,0,0
8,point_008,0.18,0.05337955556839753,538.8714520770983,713.8606672275711,38,64,26,0,0
9,point_009,0.25,0.1279183912278142,483.9950661886728,586.581115867131,31,43,54,0,0
10,point_010,0.35,0.19619378812261407,451.75722632402835,564.2376132309437,8,53,67,0,0
11,point_011,0.5,0.3603585865847236,427.04978694804817,564.2376132309437,6,28,88,6,0
12,point_012,0.7,0.5604750872335236,405.92291442541773,564.2376132309437,0,20,91,17,0
13,point_013,1.0,0.8500254998221473,384.73220767345725,564.2376132309437,0,3,96,29,0
14,point_014,1.3,0.9264861614968349,380.32433098546716,564.2376132309437,0,0,96,32,0
